gauge,name,a,p,e,x,z0,z1,z1_err,u1,u1_err,lmax_cut,z1_lmax
IRG,a90-pi5_ej1,0.9,22.55205323129871,0.25,1,0.9362499401511356,0.03880269438035629,2.8264323413536726e-08,-0.04426681517211441,3.2244451074647454e-08,29,2.256311956734633e-19
IRG,a90-pi6_ej1,0.9,42.552053231298714,0.25,1,0.9664993599098878,0.021332771514757463,1.1382350092229434e-08,-0.022837267575166444,1.218509158599683e-08,29,7.409831677879038e-21
IRG,a90-pi7_ej1,0.9,82.55205323129871,0.25,1,0.9828319389531761,0.011186799448670789,3.957507490139047e-09,-0.011581033819076174,4.096974142858466e-09,29,1.7099654650731166e-22
IRG,a90-pi8_ej1,0.9,162.55205323129871,0.25,1,0.991311949876189,0.0057266585665897,1.0393450226663488e-09,-0.0058274775294201555,1.0576428984677025e-09,29,3.646765809720872e-24
IRG,a90-pi0_ej2,0.9,2.874331564216024,0.45,1,0.480352768533363,0.1093217560165483,0.00022274794386702667,-0.47379012299694034,0.0009653684643164616,15,-1.8809117145652093e-10
IRG,a90-pi1_ej2,0.9,3.774331564216024,0.45,1,0.6410726428742521,0.1069440492200365,3.407224566159949e-05,-0.2602208764926734,8.290605877371213e-05,17,-2.221468493907851e-12
IRG,a90-pi2_ej2,0.9,4.774331564216023,0.45,1,0.7231736647177032,0.10270578370938127,1.0433227420278345e-05,-0.1963856254176256,1.9949566792201316e-05,18,-1.9625372040281907e-13
IRG,a90-pi3_ej2,0.9,7.774331564216023,0.45,1,0.8351350989180285,0.08027770973664165,8.036397280885895e-07,-0.11510163714403215,1.1522532055341014e-06,17,-2.73415262281934e-15
IRG,a90-pi4_ej2,0.9,12.774331564216023,0.45,1,0.901796838858037,0.05501961613181906,1.341586186213651e-07,-0.06765503745470429,1.6496855132456477e-07,18,5.3493751053759273e-17
IRG,a90-pi5_ej2,0.9,22.774331564216023,0.45,1,0.9458764970110931,0.0329563953736038,1.0544441512219379e-07,-0.036835861869952406,1.1785681857397618e-07,20,2.620433564641877e-18
IRG,a90-pi6_ej2,0.9,42.77433156421603,0.45,1,0.971538261608176,0.018124353514612196,9.071566025448053e-08,-0.01920183381591157,9.610864361605346e-08,15,6.186428343087334e-19
IRG,a90-pi7_ej2,0.9,82.77433156421603,0.45,1,0.9854062928326073,0.009508827455199823,3.736949476167585e-08,-0.009792561419355592,3.848456335842805e-08,14,2.817055640172326e-20
IRG,a90-pi8_ej2,0.9,162.77433156421603,0.45,1,0.9926122451142971,0.004869348751575532,6.271863529779487e-09,-0.00494210107982111,6.365570655210245e-09,17,1.4701706140485452e-22
IRG,a90-pi0_ej3,0.9,3.1782127178011494,0.6,1,0.5875729512166413,0.09833736894740966,0.00033029235832527493,-0.2848360762525283,0.0009566981542070594,12,-2.777195023414998e-10
IRG,a90-pi1_ej3,0.9,4.078212717801149,0.6,1,0.7145160959529587,0.09088647878105645,7.591025176480838e-05,-0.1780226430621759,0.0001486881639153466,13,-5.7946669402755115e-12
IRG,a90-pi2_ej3,0.9,5.078212717801149,0.6,1,0.7806240238002169,0.08466081978063142,2.468257142044141e-05,-0.13893083446810725,4.050480792822539e-05,14,-7.774291338002243e-13
IRG,a90-pi3_ej3,0.9,8.078212717801149,0.6,1,0.8693231250015194,0.06455033195501607,1.897538027747651e-06,-0.08541536773410821,2.510891943088222e-06,13,-9.25634449818729e-15
IRG,a90-pi4_ej3,0.9,13.078212717801149,0.6,1,0.9219203120806757,0.043998689369013515,3.027254438270205e-07,-0.051766997046156345,3.5617395384114145e-07,13,2.7630547574713453e-16
IRG,a90-pi5_ej3,0.9,23.07821271780115,0.6,1,0.9568222734151817,0.026350665285453743,2.043726828598874e-07,-0.02878253434039582,2.2323397526895659e-07,14,1.2219586328620462e-17
