PNorder,p,e,u1
5,161.8323848163495,0.45,-0.004970492
5,2.193855751666636,0.6,-11.02955336
5,3.093855751666636,0.6,-1.487212785
5,4.093855751666636,0.6,-0.387023806
5,7.093855751666636,0.6,-0.103081703
5,12.093855751666636,0.6,-0.055993226
5,22.093855751666638,0.6,-0.030030948
5,42.09385575166664,0.6,-0.015540057
5,82.09385575166664,0.6,-0.007892997
5,162.09385575166664,0.6,-0.0039749
6,1.615631562979778,0.1,-113.6951773
6,2.515631562979778,0.1,-5.122593315
6,3.515631562979778,0.1,-0.757191631
6,6.515631562979777,0.1,-0.183282299
6,11.515631562979777,0.1,-0.096095069
6,21.515631562979777,0.1,-0.049216324
6,41.51563156297978,0.1,-0.02477359
6,81.51563156297978,0.1,-0.012398989
6,161.5156315629798,0.1,-0.006196844
6,1.739068657913204,0.25,-114.5813415
6,2.639068657913204,0.25,-6.102544939
6,3.639068657913204,0.25,-0.86673275
6,6.639068657913204,0.25,-0.17041791
6,11.639068657913203,0.25,-0.089239474
6,21.639068657913203,0.25,-0.046112623
6,41.63906865791321,0.25,-0.023331415
6,81.63906866,0.25,-0.011708776
6,161.6390686579132,0.25,-0.005859975
6,1.9323848163495112,0.45,-97.15978022
6,2.832384816349511,0.45,-6.52226794
6,3.832384816349511,0.45,-0.935689839
6,6.832384816349511,0.45,-0.140179595
6,11.832384816349512,0.45,-0.07302177
6,21.83238481634951,0.45,-0.038392106
6,41.83238481634951,0.45,-0.019626694
6,81.83238481634952,0.45,-0.009903561
6,161.8323848163495,0.45,-0.004970492
6,2.193855751666636,0.6,-47.48947637
6,3.093855751666636,0.6,-4.208235968
6,4.093855751666636,0.6,-0.694270792
6,7.093855751666636,0.6,-0.105723162
6,12.093855751666636,0.6,-0.055938092
6,22.093855751666638,0.6,-0.030027541
6,42.09385575166664,0.6,-0.015539978
6,82.09385575166664,0.6,-0.007892996
6,162.09385575166664,0.6,-0.0039749
7,1.615631562979778,0.1,-292.5917178
7,2.515631562979778,0.1,16.425895186523604
7,3.515631562979778,0.1,3.866043770066841
7,6.515631562979777,0.1,-0.065222096
7,11.515631562979777,0.1,-0.093314224
7,21.515631562979777,0.1,-0.049179129
7,41.51563156297978,0.1,-0.024773243
7,81.51563156297978,0.1,-0.012398986
7,161.5156315629798,0.1,-0.006196844
7,1.739068657913204,0.25,-210.5395552
7,2.639068657913204,0.25,40.43573518052708
7,3.639068657913204,0.25,8.911193632436136
7,6.639068657913204,0.25,0.095960295
7,11.639068657913203,0.25,-0.08265611
7,21.639068657913203,0.25,-0.046021642
7,41.63906865791321,0.25,-0.02333055
7,81.63906866,0.25,-0.01170877
7,161.6390686579132,0.25,-0.005859975
7,1.9323848163495112,0.45,397.72138565898166
7,2.832384816349511,0.45,138.42078515130555
7,3.832384816349511,0.45,28.48336817898197
7,6.832384816349511,0.45,0.7284403904052572
7,11.832384816349512,0.45,-0.050051825
7,21.83238481634951,0.45,-0.038059099
7,41.83238481634951,0.45,-0.019623437
7,81.83238481634952,0.45,-0.009903536
7,161.8323848163495,0.45,-0.004970492
7,2.193855751666636,0.6,850.6123452965298
7,3.093855751666636,0.6,189.10032861419344
7,4.093855751666636,0.6,40.35955989
7,7.093855751666636,0.6,1.2723011268028677
7,12.093855751666636,0.6,-0.016008317
7,22.093855751666638,0.6,-0.029410396
7,42.09385575166664,0.6,-0.015533705
7,82.09385575166664,0.6,-0.007892946
7,162.09385575166664,0.6,-0.003974899
8,1.615631562979778,0.1,-1150.094232
8,2.515631562979778,0.1,5.869796763476186
8,3.515631562979778,0.1,3.5867223315451136
8,6.515631562979777,0.1,-0.06415178
8,11.515631562979777,0.1,-0.093292166
8,21.515631562979777,0.1,-0.049178967
8,41.51563156297978,0.1,-0.024773242
8,81.51563156297978,0.1,-0.012398986
8,161.5156315629798,0.1,-0.006196844
8,1.739068657913204,0.25,-1660.086459
8,2.639068657913204,0.25,14.571951734198336
8,3.639068657913204,0.25,7.889245444888719
8,6.639068657913204,0.25,0.095722515
8,11.639068657913203,0.25,-0.08262334
8,21.639068657913203,0.25,-0.046021328
8,41.63906865791321,0.25,-0.023330548
8,81.63906866,0.25,-0.01170877
8,161.6390686579132,0.25,-0.005859975
8,1.9323848163495112,0.45,-912.4276199
8,2.832384816349511,0.45,105.48800530651752
8,3.832384816349511,0.45,26.870514366646145
8,6.832384816349511,0.45,0.7268087769523938
8,11.832384816349512,0.45,-0.049998789
8,21.83238481634951,0.45,-0.038058497
8,41.83238481634951,0.45,-0.019623434
8,81.83238481634952,0.45,-0.009903536
8,161.8323848163495,0.45,-0.004970492
8,2.193855751666636,0.6,332.87272860890215
8,3.093855751666636,0.6,170.6866318072384
8,4.093855751666636,0.6,39.26404184702155
8,7.093855751666636,0.6,1.271114046583583
8,12.093855751666636,0.6,-0.015949404
8,22.093855751666638,0.6,-0.029409682
8,42.09385575166664,0.6,-0.0155337
8,82.09385575166664,0.6,-0.007892946
8,162.09385575166664,0.6,-0.003974899
