,gauge,name,a,p,e,x,z0,z1,z1_err,lmax_cut,z1_lmax
25,SRG,paper-comp-2,0.9,10.553556600050072,0.3,-1.0,0.8431230717949204,0.09332084383904236,5.407656827060113e-07,25,8.399317338193125e-16
26,IRG,paper-comp-4,0.9,102.60527246583447,0.3,1.0,0.9866061879125744,0.008767529314852782,7.847722526545246e-09,21,5.80114977904062e-22
27,ORG,paper-comp-4,0.9,102.60527246583447,0.3,1.0,0.9866061879125744,0.008767529333576149,7.868423275130933e-09,21,5.786688425011554e-22
28,SRG,paper-comp-4,0.9,102.60527246583447,0.3,1.0,0.9866061879125744,0.008767533642325227,1.309858037756452e-08,18,1.5393929320176256e-21
29,IRG,paper-comp-6,0.9,109.55355660005007,0.3,-1.0,0.9874205631568695,0.00825731733953413,2.6106613782028386e-08,16,7.01876219466625e-21
30,ORG,paper-comp-6,0.9,109.55355660005007,0.3,-1.0,0.9874205631568695,0.008257317341540537,2.610364833963685e-08,16,7.018066244794133e-21
31,SRG,paper-comp-6,0.9,109.55355660005007,0.3,-1.0,0.9874205631568695,0.00825731694479548,4.475526925671306e-08,14,2.1619041101003326e-20
32,IRG,paper-comp-1,0.9,3.716598646980593,0.4,1.0,0.6246794416598349,0.1107491341754316,1.758372235568171e-05,21,-6.040095183525631e-13
33,ORG,paper-comp-1,0.9,3.716598646980593,0.4,1.0,0.6246794416598349,0.11074643950773852,2.61302119291776e-05,18,-1.8061306728625123e-12
34,SRG,paper-comp-1,0.9,3.716598646980593,0.4,1.0,0.6246794416598349,0.11074747716379328,2.1117813099489124e-05,20,-8.553704608435562e-13
35,IRG,paper-comp-3,0.9,10.81898714715605,0.4,-1.0,0.8551496890686007,0.08650085625231034,8.53811741651294e-07,21,2.5828035438689543e-15
36,ORG,paper-comp-3,0.9,10.81898714715605,0.4,-1.0,0.8551496890686007,0.08650078159276567,9.185822978773412e-07,21,2.748175114392369e-15
37,SRG,paper-comp-3,0.9,10.81898714715605,0.4,-1.0,0.8551496890686007,0.08650075641957003,8.240601781900658e-07,22,1.9775139434017407e-15
38,IRG,paper-comp-5,0.9,102.7165986469806,0.4,1.0,0.987640110126244,0.00809045269893891,5.98309152590259e-08,12,3.819222004271483e-20
39,ORG,paper-comp-5,0.9,102.7165986469806,0.4,1.0,0.987640110126244,0.008090452700854416,5.982833918117933e-08,12,3.8190932448442905e-20
40,SRG,paper-comp-5,0.9,102.7165986469806,0.4,1.0,0.987640110126244,0.008090464998357354,2.7038054971041368e-08,14,7.768668954076266e-21
41,IRG,paper-comp-7,0.9,109.81898714715605,0.4,-1.0,0.9884079137280877,0.0076086917852627505,2.271334169671694e-08,16,5.345753724015175e-21
42,ORG,paper-comp-7,0.9,109.81898714715605,0.4,-1.0,0.9884079137280877,0.007608691885017551,2.270482578394201e-08,16,5.3237233072118324e-21
43,SRG,paper-comp-7,0.9,109.81898714715605,0.4,-1.0,0.9884079137280877,0.007608692086676123,1.8403708973743624e-08,18,2.3295080565681745e-21
44,ORG,paper-12,0.999,32.50916332614269,0.1,0.7,0.9535640050538956,0.028223270834395152,1.8966610671188766e-07,15,-5.198098141705553e-18
45,ORG,paper-0,0.999,2.50916332614269,0.25,0.7,0.3970072276035527,-0.1262868804760449,0.00013751044638088324,21,-5.965695497369518e-11
46,ORG,paper-10,0.999,12.50916332614269,0.25,0.7,0.8831419281071734,0.059403425708699505,6.173616125579285e-06,15,-7.718158550894828e-15
47,ORG,paper-11,0.999,32.50916332614269,0.25,0.7,0.9559299590196991,0.02679486738377599,1.8673540632550116e-06,12,-1.6754734647376182e-17
48,ORG,paper-13,0.999,2.60916332614269,0.25,0.7,0.42476174610118544,-0.09411471409970745,0.00031465093473870276,18,-1.7238647243474872e-10
49,ORG,paper-23,0.999,3.40916332614269,0.25,0.7,0.5608314854066639,0.02016655070616041,3.817729840776485e-05,21,-2.994356870144696e-12
